5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
04/01/2016 00:00,6,1,100
04/01/2016 00:05,7,1,100
04/01/2016 00:10,6,1,100
04/01/2016 00:15,7,1,100
04/01/2016 00:20,5,1,100
04/01/2016 00:25,5,1,100
04/01/2016 00:30,7,1,100
04/01/2016 00:35,6,1,100
04/01/2016 00:40,5,1,100
04/01/2016 00:45,3,1,100
04/01/2016 00:50,4,1,100
04/01/2016 00:55,4,1,100
04/01/2016 01:00,4,1,100
04/01/2016 01:05,6,1,100
04/01/2016 01:10,4,1,100
04/01/2016 01:15,3,1,100
04/01/2016 01:20,1,1,100
04/01/2016 01:25,3,1,100
04/01/2016 01:30,2,1,100
04/01/2016 01:35,2,1,100
04/01/2016 01:40,3,1,100
04/01/2016 01:45,3,1,100
04/01/2016 01:50,3,1,100
04/01/2016 01:55,3,1,100
04/01/2016 02:00,4,1,100
04/01/2016 02:05,4,1,100
04/01/2016 02:10,4,1,100
04/01/2016 02:15,2,1,100
04/01/2016 02:20,4,1,100
04/01/2016 02:25,3,1,100
04/01/2016 02:30,3,1,100
04/01/2016 02:35,2,1,100
04/01/2016 02:40,3,1,100
04/01/2016 02:45,4,1,100
04/01/2016 02:50,1,1,100
04/01/2016 02:55,5,1,100
04/01/2016 03:00,5,1,100
04/01/2016 03:05,4,1,100
04/01/2016 03:10,2,1,100
04/01/2016 03:15,3,1,100
04/01/2016 03:20,3,1,100
04/01/2016 03:25,2,1,100
04/01/2016 03:30,3,1,100
04/01/2016 03:35,8,1,100
04/01/2016 03:40,4,1,100
04/01/2016 03:45,5,1,100
04/01/2016 03:50,9,1,100
04/01/2016 03:55,8,1,100
04/01/2016 04:00,6,1,100
04/01/2016 04:05,8,1,100
04/01/2016 04:10,10,1,100
04/01/2016 04:15,8,1,100
04/01/2016 04:20,10,1,100
04/01/2016 04:25,13,1,100
04/01/2016 04:30,12,1,100
04/01/2016 04:35,14,1,100
04/01/2016 04:40,20,1,100
04/01/2016 04:45,25,1,100
04/01/2016 04:50,26,1,100
04/01/2016 04:55,26,1,100
04/01/2016 05:00,24,1,100
04/01/2016 05:05,26,1,100
04/01/2016 05:10,34,1,100
04/01/2016 05:15,37,1,100
04/01/2016 05:20,32,1,100
04/01/2016 05:25,35,1,100
04/01/2016 05:30,47,1,100
04/01/2016 05:35,47,1,100
04/01/2016 05:40,50,1,100
04/01/2016 05:45,48,1,100
04/01/2016 05:50,47,1,100
04/01/2016 05:55,50,1,100
04/01/2016 06:00,58,1,100
04/01/2016 06:05,50,1,100
04/01/2016 06:10,65,1,100
04/01/2016 06:15,63,1,100
04/01/2016 06:20,72,1,100
04/01/2016 06:25,62,1,100
04/01/2016 06:30,74,1,100
04/01/2016 06:35,71,1,100
04/01/2016 06:40,74,1,100
04/01/2016 06:45,74,1,100
04/01/2016 06:50,68,1,100
04/01/2016 06:55,68,1,100
04/01/2016 07:00,75,1,100
04/01/2016 07:05,70,1,100
04/01/2016 07:10,73,1,100
04/01/2016 07:15,66,1,100
04/01/2016 07:20,60,1,100
04/01/2016 07:25,53,1,100
04/01/2016 07:30,56,1,100
04/01/2016 07:35,50,1,100
04/01/2016 07:40,42,1,100
04/01/2016 07:45,40,1,100
04/01/2016 07:50,39,1,100
04/01/2016 07:55,39,1,100
04/01/2016 08:00,44,1,100
04/01/2016 08:05,46,1,100
04/01/2016 08:10,47,1,100
04/01/2016 08:15,40,1,100
04/01/2016 08:20,44,1,100
04/01/2016 08:25,47,1,100
04/01/2016 08:30,48,1,100
04/01/2016 08:35,51,1,100
04/01/2016 08:40,46,1,100
04/01/2016 08:45,42,1,100
04/01/2016 08:50,41,1,100
04/01/2016 08:55,43,1,100
04/01/2016 09:00,44,1,100
04/01/2016 09:05,40,1,100
04/01/2016 09:10,44,1,100
04/01/2016 09:15,53,1,100
04/01/2016 09:20,48,1,100
04/01/2016 09:25,69,1,100
04/01/2016 09:30,64,1,100
04/01/2016 09:35,62,1,100
04/01/2016 09:40,57,1,100
04/01/2016 09:45,53,1,100
04/01/2016 09:50,48,1,100
04/01/2016 09:55,60,1,100
04/01/2016 10:00,44,1,100
04/01/2016 10:05,51,1,100
04/01/2016 10:10,53,1,100
04/01/2016 10:15,49,1,100
04/01/2016 10:20,52,1,100
04/01/2016 10:25,44,1,100
04/01/2016 10:30,52,1,100
04/01/2016 10:35,50,1,100
04/01/2016 10:40,48,1,100
04/01/2016 10:45,44,1,100
04/01/2016 10:50,49,1,100
04/01/2016 10:55,45,1,100
04/01/2016 11:00,42,1,100
04/01/2016 11:05,44,1,100
04/01/2016 11:10,48,1,100
04/01/2016 11:15,48,1,100
04/01/2016 11:20,44,1,100
04/01/2016 11:25,57,1,100
04/01/2016 11:30,52,1,100
04/01/2016 11:35,36,1,100
04/01/2016 11:40,49,1,100
04/01/2016 11:45,41,1,100
04/01/2016 11:50,41,1,100
04/01/2016 11:55,45,1,100
04/01/2016 12:00,47,1,100
04/01/2016 12:05,41,1,100
04/01/2016 12:10,45,1,100
04/01/2016 12:15,41,1,100
04/01/2016 12:20,47,1,100
04/01/2016 12:25,44,1,100
04/01/2016 12:30,42,1,100
04/01/2016 12:35,50,1,100
04/01/2016 12:40,50,1,100
04/01/2016 12:45,45,1,100
04/01/2016 12:50,47,1,100
04/01/2016 12:55,43,1,100
04/01/2016 13:00,50,1,100
04/01/2016 13:05,34,1,100
04/01/2016 13:10,45,1,100
04/01/2016 13:15,32,1,100
04/01/2016 13:20,45,1,100
04/01/2016 13:25,45,1,100
04/01/2016 13:30,41,1,100
04/01/2016 13:35,40,1,100
04/01/2016 13:40,50,1,100
04/01/2016 13:45,52,1,100
04/01/2016 13:50,42,1,100
04/01/2016 13:55,45,1,100
04/01/2016 14:00,52,1,100
04/01/2016 14:05,47,1,100
04/01/2016 14:10,40,1,100
04/01/2016 14:15,44,1,100
04/01/2016 14:20,47,1,100
04/01/2016 14:25,41,1,100
04/01/2016 14:30,34,1,100
04/01/2016 14:35,44,1,100
04/01/2016 14:40,54,1,100
04/01/2016 14:45,51,1,100
04/01/2016 14:50,39,1,100
04/01/2016 14:55,53,1,100
04/01/2016 15:00,48,1,100
04/01/2016 15:05,42,1,100
04/01/2016 15:10,45,1,100
04/01/2016 15:15,46,1,100
04/01/2016 15:20,51,1,100
04/01/2016 15:25,47,1,100
04/01/2016 15:30,50,1,100
04/01/2016 15:35,52,1,100
04/01/2016 15:40,50,1,100
04/01/2016 15:45,44,1,100
04/01/2016 15:50,50,1,100
04/01/2016 15:55,43,1,100
04/01/2016 16:00,52,1,100
04/01/2016 16:05,37,1,100
04/01/2016 16:10,53,1,100
04/01/2016 16:15,49,1,100
04/01/2016 16:20,46,1,100
04/01/2016 16:25,41,1,100
04/01/2016 16:30,42,1,100
04/01/2016 16:35,39,1,100
04/01/2016 16:40,51,1,100
04/01/2016 16:45,42,1,100
04/01/2016 16:50,47,1,100
04/01/2016 16:55,40,1,100
04/01/2016 17:00,44,1,100
04/01/2016 17:05,43,1,100
04/01/2016 17:10,40,1,100
04/01/2016 17:15,53,1,100
04/01/2016 17:20,52,1,100
04/01/2016 17:25,46,1,100
04/01/2016 17:30,42,1,100
04/01/2016 17:35,51,1,100
04/01/2016 17:40,47,1,100
04/01/2016 17:45,41,1,100
04/01/2016 17:50,42,1,100
04/01/2016 17:55,39,1,100
04/01/2016 18:00,37,1,100
04/01/2016 18:05,34,1,100
04/01/2016 18:10,39,1,100
04/01/2016 18:15,39,1,100
04/01/2016 18:20,35,1,100
04/01/2016 18:25,37,1,100
04/01/2016 18:30,37,1,100
04/01/2016 18:35,30,1,100
04/01/2016 18:40,35,1,100
04/01/2016 18:45,38,1,100
04/01/2016 18:50,30,1,100
04/01/2016 18:55,31,1,100
04/01/2016 19:00,35,1,100
04/01/2016 19:05,29,1,100
04/01/2016 19:10,32,1,100
04/01/2016 19:15,36,1,100
04/01/2016 19:20,32,1,100
04/01/2016 19:25,29,1,100
04/01/2016 19:30,27,1,100
04/01/2016 19:35,30,1,100
04/01/2016 19:40,35,1,100
04/01/2016 19:45,27,1,100
04/01/2016 19:50,30,1,100
04/01/2016 19:55,26,1,100
04/01/2016 20:00,20,1,100
04/01/2016 20:05,29,1,100
04/01/2016 20:10,24,1,100
04/01/2016 20:15,21,1,100
04/01/2016 20:20,25,1,100
04/01/2016 20:25,24,1,100
04/01/2016 20:30,22,1,100
04/01/2016 20:35,21,1,100
04/01/2016 20:40,21,1,100
04/01/2016 20:45,27,1,100
04/01/2016 20:50,19,1,100
04/01/2016 20:55,21,1,100
04/01/2016 21:00,21,1,100
04/01/2016 21:05,25,1,100
04/01/2016 21:10,23,1,100
04/01/2016 21:15,17,1,100
04/01/2016 21:20,19,1,100
04/01/2016 21:25,21,1,100
04/01/2016 21:30,21,1,100
04/01/2016 21:35,24,1,100
04/01/2016 21:40,15,1,100
04/01/2016 21:45,17,1,100
04/01/2016 21:50,20,1,100
04/01/2016 21:55,12,1,100
04/01/2016 22:00,17,1,100
04/01/2016 22:05,12,1,100
04/01/2016 22:10,17,1,100
04/01/2016 22:15,16,1,100
04/01/2016 22:20,12,1,100
04/01/2016 22:25,12,1,100
04/01/2016 22:30,12,1,100
04/01/2016 22:35,13,1,100
04/01/2016 22:40,10,1,100
04/01/2016 22:45,8,1,100
04/01/2016 22:50,7,1,100
04/01/2016 22:55,11,1,100
04/01/2016 23:00,8,1,100
04/01/2016 23:05,6,1,100
04/01/2016 23:10,10,1,100
04/01/2016 23:15,11,1,100
04/01/2016 23:20,8,1,100
04/01/2016 23:25,8,1,100
04/01/2016 23:30,9,1,100
04/01/2016 23:35,12,1,100
04/01/2016 23:40,5,1,100
04/01/2016 23:45,10,1,100
04/01/2016 23:50,10,1,100
04/01/2016 23:55,6,1,100
05/01/2016 00:00,6,1,100
05/01/2016 00:05,7,1,100
05/01/2016 00:10,5,1,100
05/01/2016 00:15,3,1,100
05/01/2016 00:20,5,1,100
05/01/2016 00:25,5,1,100
05/01/2016 00:30,6,1,100
05/01/2016 00:35,5,1,100
05/01/2016 00:40,3,1,100
05/01/2016 00:45,3,1,100
05/01/2016 00:50,6,1,100
05/01/2016 00:55,1,1,100
05/01/2016 01:00,6,1,100
05/01/2016 01:05,3,1,100
05/01/2016 01:10,5,1,100
05/01/2016 01:15,4,1,100
05/01/2016 01:20,4,1,100
05/01/2016 01:25,1,1,100
05/01/2016 01:30,5,1,100
05/01/2016 01:35,4,1,100
05/01/2016 01:40,1,1,100
05/01/2016 01:45,3,1,100
05/01/2016 01:50,3,1,100
05/01/2016 01:55,4,1,100
05/01/2016 02:00,2,1,100
05/01/2016 02:05,2,1,100
05/01/2016 02:10,3,1,100
05/01/2016 02:15,2,1,100
05/01/2016 02:20,3,1,100
05/01/2016 02:25,4,1,100
05/01/2016 02:30,2,1,100
05/01/2016 02:35,4,1,100
05/01/2016 02:40,2,1,100
05/01/2016 02:45,2,1,100
05/01/2016 02:50,2,1,100
05/01/2016 02:55,1,1,100
05/01/2016 03:00,2,1,100
05/01/2016 03:05,1,1,100
05/01/2016 03:10,2,1,100
05/01/2016 03:15,4,1,100
05/01/2016 03:20,4,1,100
05/01/2016 03:25,3,1,100
05/01/2016 03:30,3,1,100
05/01/2016 03:35,4,1,100
05/01/2016 03:40,4,1,100
05/01/2016 03:45,6,1,100
05/01/2016 03:50,3,1,100
05/01/2016 03:55,4,1,100
05/01/2016 04:00,6,1,100
05/01/2016 04:05,6,1,100
05/01/2016 04:10,5,1,100
05/01/2016 04:15,10,1,100
05/01/2016 04:20,9,1,100
05/01/2016 04:25,8,1,100
05/01/2016 04:30,9,1,100
05/01/2016 04:35,12,1,100
05/01/2016 04:40,17,1,100
05/01/2016 04:45,23,1,100
05/01/2016 04:50,22,1,100
05/01/2016 04:55,20,1,100
05/01/2016 05:00,27,1,100
05/01/2016 05:05,22,1,100
05/01/2016 05:10,27,1,100
05/01/2016 05:15,34,1,100
05/01/2016 05:20,30,1,100
05/01/2016 05:25,35,1,100
05/01/2016 05:30,38,1,100
05/01/2016 05:35,37,1,100
05/01/2016 05:40,54,1,100
05/01/2016 05:45,51,1,100
05/01/2016 05:50,48,1,100
05/01/2016 05:55,46,1,100
05/01/2016 06:00,55,1,100
05/01/2016 06:05,54,1,100
05/01/2016 06:10,61,1,100
05/01/2016 06:15,64,1,100
05/01/2016 06:20,64,1,100
05/01/2016 06:25,83,1,100
05/01/2016 06:30,65,1,100
05/01/2016 06:35,78,1,100
05/01/2016 06:40,80,1,100
05/01/2016 06:45,87,1,100
05/01/2016 06:50,77,1,100
05/01/2016 06:55,76,1,100
05/01/2016 07:00,75,1,100
05/01/2016 07:05,75,1,100
05/01/2016 07:10,75,1,100
05/01/2016 07:15,69,1,100
05/01/2016 07:20,69,1,100
05/01/2016 07:25,49,1,100
05/01/2016 07:30,58,1,100
05/01/2016 07:35,52,1,100
05/01/2016 07:40,39,1,100
05/01/2016 07:45,42,1,100
05/01/2016 07:50,32,1,100
05/01/2016 07:55,38,1,100
05/01/2016 08:00,43,1,100
05/01/2016 08:05,46,1,100
05/01/2016 08:10,37,1,100
05/01/2016 08:15,41,1,100
05/01/2016 08:20,36,1,100
05/01/2016 08:25,35,1,100
05/01/2016 08:30,35,1,100
05/01/2016 08:35,32,1,100
05/01/2016 08:40,39,1,100
05/01/2016 08:45,30,1,100
05/01/2016 08:50,33,1,100
05/01/2016 08:55,32,1,100
05/01/2016 09:00,28,1,100
05/01/2016 09:05,29,1,100
05/01/2016 09:10,34,1,100
05/01/2016 09:15,37,1,100
05/01/2016 09:20,32,1,100
05/01/2016 09:25,36,1,100
05/01/2016 09:30,41,1,100
05/01/2016 09:35,40,1,100
05/01/2016 09:40,46,1,100
05/01/2016 09:45,44,1,100
05/01/2016 09:50,42,1,100
05/01/2016 09:55,30,1,100
05/01/2016 10:00,40,1,100
05/01/2016 10:05,32,1,100
05/01/2016 10:10,36,1,100
05/01/2016 10:15,37,1,100
05/01/2016 10:20,39,1,100
05/01/2016 10:25,46,1,100
05/01/2016 10:30,36,1,100
05/01/2016 10:35,42,1,100
05/01/2016 10:40,38,1,100
05/01/2016 10:45,44,1,100
05/01/2016 10:50,38,1,100
05/01/2016 10:55,43,1,100
05/01/2016 11:00,41,1,100
05/01/2016 11:05,35,1,100
05/01/2016 11:10,37,1,100
05/01/2016 11:15,38,1,100
05/01/2016 11:20,39,1,100
05/01/2016 11:25,37,1,100
05/01/2016 11:30,32,1,100
05/01/2016 11:35,46,1,100
05/01/2016 11:40,45,1,100
05/01/2016 11:45,27,1,100
05/01/2016 11:50,23,1,100
05/01/2016 11:55,24,1,100
05/01/2016 12:00,21,1,100
05/01/2016 12:05,42,1,100
05/01/2016 12:10,32,1,100
05/01/2016 12:15,39,1,100
05/01/2016 12:20,36,1,100
05/01/2016 12:25,24,1,100
05/01/2016 12:30,37,1,100
05/01/2016 12:35,36,1,100
05/01/2016 12:40,19,1,100
05/01/2016 12:45,9,1,100
05/01/2016 12:50,38,1,100
05/01/2016 12:55,37,1,100
05/01/2016 13:00,41,1,100
05/01/2016 13:05,35,1,100
05/01/2016 13:10,31,1,100
05/01/2016 13:15,29,1,100
05/01/2016 13:20,33,1,100
05/01/2016 13:25,26,1,100
05/01/2016 13:30,31,1,100
05/01/2016 13:35,35,1,100
05/01/2016 13:40,39,1,100
05/01/2016 13:45,16,1,100
05/01/2016 13:50,48,1,100
05/01/2016 13:55,39,1,100
05/01/2016 14:00,32,1,100
05/01/2016 14:05,35,1,100
05/01/2016 14:10,29,1,100
05/01/2016 14:15,38,1,100
05/01/2016 14:20,37,1,100
05/01/2016 14:25,36,1,100
05/01/2016 14:30,38,1,100
05/01/2016 14:35,33,1,100
05/01/2016 14:40,37,1,100
05/01/2016 14:45,44,1,100
05/01/2016 14:50,28,1,100
05/01/2016 14:55,36,1,100
05/01/2016 15:00,26,1,100
05/01/2016 15:05,34,1,100
05/01/2016 15:10,33,1,100
05/01/2016 15:15,40,1,100
05/01/2016 15:20,48,1,100
05/01/2016 15:25,41,1,100
05/01/2016 15:30,40,1,100
05/01/2016 15:35,47,1,100
05/01/2016 15:40,52,1,100
05/01/2016 15:45,42,1,100
05/01/2016 15:50,45,1,100
05/01/2016 15:55,36,1,100
05/01/2016 16:00,37,1,100
05/01/2016 16:05,38,1,100
05/01/2016 16:10,41,1,100
05/01/2016 16:15,39,1,100
05/01/2016 16:20,41,1,100
05/01/2016 16:25,44,1,100
05/01/2016 16:30,40,1,100
05/01/2016 16:35,37,1,100
05/01/2016 16:40,42,1,100
05/01/2016 16:45,36,1,100
05/01/2016 16:50,42,1,100
05/01/2016 16:55,41,1,100
05/01/2016 17:00,38,1,100
05/01/2016 17:05,41,1,100
05/01/2016 17:10,41,1,100
05/01/2016 17:15,48,1,100
05/01/2016 17:20,48,1,100
05/01/2016 17:25,39,1,100
05/01/2016 17:30,41,1,100
05/01/2016 17:35,35,1,100
05/01/2016 17:40,34,1,100
05/01/2016 17:45,41,1,100
05/01/2016 17:50,38,1,100
05/01/2016 17:55,31,1,100
05/01/2016 18:00,38,1,100
05/01/2016 18:05,41,1,100
05/01/2016 18:10,36,1,100
05/01/2016 18:15,38,1,100
05/01/2016 18:20,41,1,100
05/01/2016 18:25,34,1,100
05/01/2016 18:30,37,1,100
05/01/2016 18:35,31,1,100
05/01/2016 18:40,31,1,100
05/01/2016 18:45,30,1,100
05/01/2016 18:50,32,1,100
05/01/2016 18:55,28,1,100
05/01/2016 19:00,36,1,100
05/01/2016 19:05,26,1,100
05/01/2016 19:10,30,1,100
05/01/2016 19:15,26,1,100
05/01/2016 19:20,30,1,100
05/01/2016 19:25,29,1,100
05/01/2016 19:30,25,1,100
05/01/2016 19:35,26,1,100
05/01/2016 19:40,29,1,100
05/01/2016 19:45,19,1,100
05/01/2016 19:50,20,1,100
05/01/2016 19:55,23,1,100
05/01/2016 20:00,24,1,100
05/01/2016 20:05,20,1,100
05/01/2016 20:10,23,1,100
05/01/2016 20:15,28,1,100
05/01/2016 20:20,22,1,100
05/01/2016 20:25,24,1,100
05/01/2016 20:30,19,1,100
05/01/2016 20:35,19,1,100
05/01/2016 20:40,22,1,100
05/01/2016 20:45,19,1,100
05/01/2016 20:50,24,1,100
05/01/2016 20:55,22,1,100
05/01/2016 21:00,14,1,100
05/01/2016 21:05,20,1,100
05/01/2016 21:10,21,1,100
05/01/2016 21:15,18,1,100
05/01/2016 21:20,24,1,100
05/01/2016 21:25,17,1,100
05/01/2016 21:30,15,1,100
05/01/2016 21:35,15,1,100
05/01/2016 21:40,16,1,100
05/01/2016 21:45,14,1,100
05/01/2016 21:50,18,1,100
05/01/2016 21:55,12,1,100
05/01/2016 22:00,11,1,100
05/01/2016 22:05,13,1,100
05/01/2016 22:10,13,1,100
05/01/2016 22:15,16,1,100
05/01/2016 22:20,15,1,100
05/01/2016 22:25,13,1,100
05/01/2016 22:30,13,1,100
05/01/2016 22:35,10,1,100
05/01/2016 22:40,10,1,100
05/01/2016 22:45,8,1,100
05/01/2016 22:50,9,1,100
05/01/2016 22:55,7,1,100
05/01/2016 23:00,7,1,100
05/01/2016 23:05,7,1,100
05/01/2016 23:10,9,1,100
05/01/2016 23:15,8,1,100
05/01/2016 23:20,6,1,100
05/01/2016 23:25,6,1,100
05/01/2016 23:30,4,1,100
05/01/2016 23:35,7,1,100
05/01/2016 23:40,7,1,100
05/01/2016 23:45,8,1,100
05/01/2016 23:50,8,1,100
05/01/2016 23:55,6,1,100
06/01/2016 00:00,7,1,100
06/01/2016 00:05,3,1,100
06/01/2016 00:10,4,1,100
06/01/2016 00:15,4,1,100
06/01/2016 00:20,4,1,100
06/01/2016 00:25,3,1,100
06/01/2016 00:30,5,1,100
06/01/2016 00:35,5,1,100
06/01/2016 00:40,6,1,100
06/01/2016 00:45,1,1,100
06/01/2016 00:50,4,1,100
06/01/2016 00:55,2,1,100
06/01/2016 01:00,5,1,100
06/01/2016 01:05,2,1,100
06/01/2016 01:10,4,1,100
06/01/2016 01:15,4,1,100
06/01/2016 01:20,3,1,100
06/01/2016 01:25,6,1,100
06/01/2016 01:30,2,1,100
06/01/2016 01:35,2,1,100
06/01/2016 01:40,2,1,100
06/01/2016 01:45,1,1,100
06/01/2016 01:50,1,1,100
06/01/2016 01:55,4,1,100
06/01/2016 02:00,3,1,100
06/01/2016 02:05,2,1,100
06/01/2016 02:10,1,1,100
06/01/2016 02:15,2,1,100
06/01/2016 02:20,2,1,100
06/01/2016 02:25,1,1,100
06/01/2016 02:30,2,1,100
06/01/2016 02:35,3,1,100
06/01/2016 02:40,1,1,100
06/01/2016 02:45,1,1,100
06/01/2016 02:50,4,1,100
06/01/2016 02:55,2,1,100
06/01/2016 03:00,3,1,100
06/01/2016 03:05,2,1,100
06/01/2016 03:10,1,1,100
06/01/2016 03:15,3,1,100
06/01/2016 03:20,4,1,100
06/01/2016 03:25,3,1,100
06/01/2016 03:30,1,1,100
06/01/2016 03:35,5,1,100
06/01/2016 03:40,5,1,100
06/01/2016 03:45,7,1,100
06/01/2016 03:50,4,1,100
06/01/2016 03:55,4,1,100
06/01/2016 04:00,6,1,100
06/01/2016 04:05,5,1,100
06/01/2016 04:10,6,1,100
06/01/2016 04:15,8,1,100
06/01/2016 04:20,7,1,100
06/01/2016 04:25,9,1,100
06/01/2016 04:30,5,1,100
06/01/2016 04:35,17,1,100
06/01/2016 04:40,17,1,100
06/01/2016 04:45,14,1,100
06/01/2016 04:50,21,1,100
06/01/2016 04:55,18,1,100
06/01/2016 05:00,25,1,100
06/01/2016 05:05,19,1,100
06/01/2016 05:10,26,1,100
06/01/2016 05:15,29,1,100
06/01/2016 05:20,31,1,100
06/01/2016 05:25,30,1,100
06/01/2016 05:30,39,1,100
06/01/2016 05:35,40,1,100
06/01/2016 05:40,55,1,100
06/01/2016 05:45,41,1,100
06/01/2016 05:50,51,1,100
06/01/2016 05:55,57,1,100
06/01/2016 06:00,49,1,100
06/01/2016 06:05,54,1,100
06/01/2016 06:10,51,1,100
06/01/2016 06:15,56,1,100
06/01/2016 06:20,63,1,100
06/01/2016 06:25,67,1,100
06/01/2016 06:30,59,1,100
06/01/2016 06:35,81,1,100
06/01/2016 06:40,85,1,100
06/01/2016 06:45,81,1,100
06/01/2016 06:50,88,1,100
06/01/2016 06:55,81,1,100
06/01/2016 07:00,94,1,100
06/01/2016 07:05,73,1,100
06/01/2016 07:10,72,1,100
06/01/2016 07:15,60,1,100
06/01/2016 07:20,52,1,100
06/01/2016 07:25,48,1,100
06/01/2016 07:30,37,1,100
06/01/2016 07:35,43,1,100
06/01/2016 07:40,43,1,100
06/01/2016 07:45,37,1,100
06/01/2016 07:50,39,1,100
06/01/2016 07:55,37,1,100
06/01/2016 08:00,46,1,100
06/01/2016 08:05,42,1,100
06/01/2016 08:10,45,1,100
06/01/2016 08:15,49,1,100
06/01/2016 08:20,40,1,100
06/01/2016 08:25,46,1,100
06/01/2016 08:30,42,1,100
06/01/2016 08:35,32,1,100
06/01/2016 08:40,41,1,100
06/01/2016 08:45,41,1,100
06/01/2016 08:50,47,1,100
06/01/2016 08:55,40,1,100
06/01/2016 09:00,36,1,100
06/01/2016 09:05,50,1,100
06/01/2016 09:10,42,1,100
06/01/2016 09:15,59,1,100
06/01/2016 09:20,52,1,100
06/01/2016 09:25,57,1,100
06/01/2016 09:30,57,1,100
06/01/2016 09:35,62,1,100
06/01/2016 09:40,48,1,100
06/01/2016 09:45,60,1,100
06/01/2016 09:50,60,1,100
06/01/2016 09:55,55,1,100
06/01/2016 10:00,66,1,100
06/01/2016 10:05,52,1,100
06/01/2016 10:10,48,1,100
06/01/2016 10:15,48,1,100
06/01/2016 10:20,45,1,100
06/01/2016 10:25,60,1,100
06/01/2016 10:30,52,1,100
06/01/2016 10:35,57,1,100
